"","R_fighter","B_fighter","Winner","date","R_Stance","B_Stance"
"243","Arnold Allen","Sodiq Yusuff","Southpaw","4/10/2021","Southpaw","Orthodox"
"244","Sam Alvey","Julian Marquez","Orthodox","4/10/2021","Southpaw","Orthodox"
"246","Mike Perry","Daniel Rodriguez","Southpaw","4/10/2021","Orthodox","Southpaw"
"247","Jim Miller","Joe Solecki","Orthodox","4/10/2021","Southpaw","Orthodox"
"248","Scott Holtzman","Mateusz Gamrot","Southpaw","4/10/2021","Orthodox","Southpaw"
"252","Luis Saldana","Jordan Griffin","Orthodox","4/10/2021","Orthodox","Southpaw"
"254","Impa Kasanganay","Sasha Palatnikov","Orthodox","4/10/2021","Orthodox","Switch"
"257","Sean O'Malley","Thomas Almeida","Switch","3/27/2021","Switch","Southpaw"
"258","Gillian Robertson","Miranda Maverick","Southpaw","3/27/2021","Orthodox","Southpaw"
"260","Alonzo Menifield","Fabio Cherant","Orthodox","3/27/2021","Orthodox","Southpaw"
"262","Modestas Bukauskas","Michal Oleksiejczuk","Southpaw","3/27/2021","Switch","Southpaw"
"265","Derek Brunson","Kevin Holland","Southpaw","3/20/2021","Southpaw","Orthodox"
"267","Cheyanne Buys","Montserrat Conejo","Southpaw","3/20/2021","Switch","Southpaw"
"269","Tai Tuivasa","Harry Hunsucker","Southpaw","3/20/2021","Southpaw","Orthodox"
"271","Leonardo Santos","Grant Dawson","Switch","3/20/2021","Orthodox","Switch"
"273","Montel Jackson","Jesse Strader","Southpaw","3/20/2021","Southpaw","Orthodox"
"276","Dan Ige","Gavin Tucker","Orthodox","3/13/2021","Orthodox","Southpaw"
"277","Jonathan Martinez","Davey Grant","Orthodox","3/13/2021","Southpaw","Orthodox"
"278","Manel Kape","Matheus Nicolau","Orthodox","3/13/2021","Southpaw","Orthodox"
"279","Angela Hill","Ashley Yoder","Orthodox","3/13/2021","Orthodox","Southpaw"
"280","Charles Jourdain","Marcelo Rojo","Switch","3/13/2021","Switch","Orthodox"
