"","R_fighter","B_fighter","Winner","date","R_Stance","B_Stance"
"1433","Derek Brunson","Israel Adesanya","Switch","11/3/2018","Southpaw","Switch"
"1436","Julio Arce","Sheymon Moraes","Orthodox","11/3/2018","Southpaw","Orthodox"
"1443","Andre Soukhamthath","Jonathan Martinez","Orthodox","10/27/2018","Orthodox","Southpaw"
"1447","Thibault Gouti","Nasrat Haqparast","Southpaw","10/27/2018","Orthodox","Southpaw"
"1450","Te Edwards","Don Madge","Southpaw","10/27/2018","Orthodox","Southpaw"
"1452","Stevie Ray","Jessin Ayari","Southpaw","10/27/2018","Southpaw","Orthodox"
"1453","Khabib Nurmagomedov","Conor McGregor","Orthodox","10/6/2018","Orthodox","Southpaw"
"1459","Vicente Luque","Jalin Turner","Orthodox","10/6/2018","Orthodox","Southpaw"
"1461","Scott Holtzman","Alan Patrick","Orthodox","10/6/2018","Orthodox","Southpaw"
"1464","Ryan LaFlare","Anthony Rocco Martin","Orthodox","10/6/2018","Southpaw","Orthodox"
"1465","Thiago Santos","Eryk Anders","Orthodox","9/22/2018","Orthodox","Southpaw"
"1466","Alex Oliveira","Carlo Pedersoli","Orthodox","9/22/2018","Orthodox","Southpaw"
"1468","Renan Barao","Andre Ewell","Southpaw","9/22/2018","Orthodox","Southpaw"
"1475","Thales Leites","Hector Lombard","Orthodox","9/22/2018","Orthodox","Southpaw"
"1477","Livinha Souza","Alex Chambers","Orthodox","9/22/2018","Orthodox","Switch"
"1483","Petr Yan","Jin Soo Son","Switch","9/15/2018","Switch","Orthodox"
"1485","Mairbek Taisumov","Desmond Green","Orthodox","9/15/2018","Orthodox","Southpaw"
"1490","Tyron Woodley","Darren Till","Orthodox","9/8/2018","Orthodox","Southpaw"
"1495","Carla Esparza","Tatiana Suarez","Southpaw","9/8/2018","Orthodox","Southpaw"
"1497","Geoff Neal","Frank Camacho","Southpaw","9/8/2018","Southpaw","Orthodox"
"1499","Diego Sanchez","Craig White","Southpaw","9/8/2018","Southpaw","Orthodox"
"1502","Roberto Sanchez","Jarred Brooks","Switch","9/8/2018","Orthodox","Switch"
"1504","Michael Johnson","Andre Fili","Southpaw","8/25/2018","Southpaw","Orthodox"
"1506","Jake Ellenberger","Bryan Barberena","Southpaw","8/25/2018","Orthodox","Southpaw"
"1508","Eryk Anders","Tim Williams","Southpaw","8/25/2018","Southpaw","Orthodox"
"1510","Cory Sandhagen","Iuri Alcantara","Switch","8/25/2018","Switch","Southpaw"
"1512","Mickey Gall","George Sullivan","Switch","8/25/2018","Switch","Orthodox"
"1513","Joanne Calderwood","Kalindra Faria","Orthodox","8/25/2018","Orthodox","Switch"
"1514","Drew Dober","Jon Tuck","Southpaw","8/25/2018","Southpaw","Orthodox"
"1515","Rani Yahya","Luke Sanders","Orthodox","8/25/2018","Orthodox","Southpaw"
"1519","Polyana Viana","JJ Aldrich","Southpaw","8/4/2018","Orthodox","Southpaw"
"1522","Ricky Simon","Montel Jackson","Orthodox","8/4/2018","Orthodox","Southpaw"
"1526","Danielle Taylor","Weili Zhang","Switch","8/4/2018","Orthodox","Switch"
"1527","Marlon Vera","Wuliji Buren","Switch","8/4/2018","Switch","Orthodox"
"1528","Eddie Alvarez","Dustin Poirier","Southpaw","7/28/2018","Orthodox","Southpaw"
"1531","Alexander Hernandez","Olivier Aubin-Mercier","Orthodox","7/28/2018","Orthodox","Southpaw"
"1535","Gadzhimurad Antigulov","Ion Cutelaba","Southpaw","7/28/2018","Orthodox","Southpaw"
"1545","Danny Roberts","David Zawada","Southpaw","7/22/2018","Southpaw","Orthodox"
"1546","Nasrat Haqparast","Marc Diakiese","Southpaw","7/22/2018","Southpaw","Orthodox"
"1547","Nick Hein","Damir Hadzovic","Orthodox","7/22/2018","Southpaw","Orthodox"
"1548","Emil Meek","Bartosz Fabinski","Orthodox","7/22/2018","Switch","Orthodox"
"1552","Jeremy Kimball","Darko Stosic","Orthodox","7/22/2018","Switch","Orthodox"
"1554","Junior Dos Santos","Blagoy Ivanov","Orthodox","7/14/2018","Orthodox","Southpaw"
"1556","Dennis Bermudez","Rick Glenn","Southpaw","7/14/2018","Orthodox","Southpaw"
"1559","Cat Zingano","Marion Reneau","Southpaw","7/14/2018","Southpaw","Orthodox"
"1562","Justin Scoggins","Said Nurmagomedov","Orthodox","7/14/2018","Southpaw","Orthodox"
"1565","Mark De La Rosa","Elias Garcia","Orthodox","7/14/2018","Orthodox","Southpaw"
"1570","Michael Chiesa","Anthony Pettis","Orthodox","7/7/2018","Southpaw","Orthodox"
"1571","Gokhan Saki","Khalil Rountree Jr.","Southpaw","7/7/2018","Orthodox","Southpaw"
"1576","Dan Hooker","Gilbert Burns","Switch","7/7/2018","Switch","Orthodox"
"1578","Brad Tavares","Israel Adesanya","Switch","7/6/2018","Orthodox","Switch"
"1579","Michael Trizano","Joe Giannetti","Orthodox","7/6/2018","Orthodox","Southpaw"
"1585","Luis Pena","Richie Smullen","Southpaw","7/6/2018","Southpaw","Orthodox"
"1587","Tyler Diamond","Bryce Mitchell","Southpaw","7/6/2018","Orthodox","Southpaw"
"1590","Donald Cerrone","Leon Edwards","Southpaw","6/23/2018","Orthodox","Southpaw"
"1591","Ovince Saint Preux","Tyson Pedro","Southpaw","6/23/2018","Southpaw","Orthodox"
"1594","Teruto Ishihara","Petr Yan","Switch","6/23/2018","Southpaw","Switch"
"1601","Jenel Lausa","Ulka Sasaki","Southpaw","6/23/2018","Orthodox","Southpaw"
"1603","Robert Whittaker","Yoel Romero","Orthodox","6/9/2018","Orthodox","Southpaw"
"1604","Rafael Dos Anjos","Colby Covington","Orthodox","6/9/2018","Southpaw","Orthodox"
"1605","Holly Holm","Megan Anderson","Southpaw","6/9/2018","Southpaw","Orthodox"
"1606","Andrei Arlovski","Tai Tuivasa","Southpaw","6/9/2018","Orthodox","Southpaw"
"1613","Joseph Benavidez","Sergio Pettis","Orthodox","6/9/2018","Southpaw","Orthodox"
"1618","Walt Harris","Daniel Spitz","Southpaw","6/1/2018","Southpaw","Orthodox"
"1620","Julio Arce","Daniel Teymur","Southpaw","6/1/2018","Southpaw","Orthodox"
"1621","Gian Villante","Sam Alvey","Southpaw","6/1/2018","Orthodox","Southpaw"
"1623","Nik Lentz","David Teymur","Southpaw","6/1/2018","Orthodox","Southpaw"
"1624","Belal Muhammad","Chance Rencountre","Orthodox","6/1/2018","Orthodox","Southpaw"
"1627","Jarred Brooks","Jose Torres","Orthodox","6/1/2018","Switch","Orthodox"
"1628","Stephen Thompson","Darren Till","Southpaw","5/27/2018","Orthodox","Southpaw"
"1630","Arnold Allen","Mads Burnell","Southpaw","5/27/2018","Southpaw","Orthodox"
"1631","Jason Knight","Makwan Amirkhani","Southpaw","5/27/2018","Orthodox","Southpaw"
"1632","Claudio Silva","Nordine Taleb","Southpaw","5/27/2018","Southpaw","Orthodox"
"1635","Lina Lansberg","Gina Mazany","Orthodox","5/27/2018","Orthodox","Southpaw"
"1636","Bradley Scott","Carlo Pedersoli","Southpaw","5/27/2018","Orthodox","Southpaw"
"1639","Demian Maia","Kamaru Usman","Switch","5/19/2018","Southpaw","Switch"
"1640","Alexa Grasso","Tatiana Suarez","Southpaw","5/19/2018","Orthodox","Southpaw"
"1641","Jared Cannonier","Dominick Reyes","Southpaw","5/19/2018","Switch","Southpaw"
"1642","Diego Rivas","Guido Cannetti","Southpaw","5/19/2018","Orthodox","Southpaw"
"1643","Veronica Macedo","Andrea Lee","Orthodox","5/19/2018","Southpaw","Orthodox"
"1645","Zak Cummings","Michel Prazeres","Orthodox","5/19/2018","Southpaw","Orthodox"
"1649","Enrique Barzola","Brandon Davis","Switch","5/19/2018","Switch","Orthodox"
"1651","Claudio Puelles","Felipe Silva","Southpaw","5/19/2018","Southpaw","Orthodox"
"1653","Jacare Souza","Kelvin Gastelum","Southpaw","5/12/2018","Orthodox","Southpaw"
"1654","Mackenzie Dern","Amanda Cooper","Orthodox","5/12/2018","Orthodox","Switch"
"1655","John Lineker","Brian Kelleher","Orthodox","5/12/2018","Orthodox","Switch"
"1659","Davi Ramos","Nick Hein","Orthodox","5/12/2018","Orthodox","Southpaw"
"1663","Alberto Mina","Ramazan Emeev","Southpaw","5/12/2018","Orthodox","Southpaw"
"1667","Justin Willis","Chase Sherman","Southpaw","4/21/2018","Southpaw","Orthodox"
"1670","Jim Miller","Dan Hooker","Switch","4/21/2018","Southpaw","Switch"
"1671","Ryan LaFlare","Alex Garcia","Southpaw","4/21/2018","Southpaw","Orthodox"
"1675","Anthony Rocco Martin","Keita Nakamura","Orthodox","4/21/2018","Orthodox","Southpaw"
"1676","Dustin Poirier","Justin Gaethje","Southpaw","4/14/2018","Southpaw","Orthodox"
"1678","Israel Adesanya","Marvin Vettori","Switch","4/14/2018","Switch","Southpaw"
"1681","Muslim Salikhov","Ricky Rainey","Orthodox","4/14/2018","Orthodox","Switch"
"1682","Wilson Reis","John Moraga","Orthodox","4/14/2018","Southpaw","Orthodox"
"1683","Krzysztof Jotko","Brad Tavares","Orthodox","4/14/2018","Southpaw","Orthodox"
"1684","Gilbert Burns","Dan Moret","Orthodox","4/14/2018","Orthodox","Southpaw"
"1686","Dhiego Lima","Yushin Okami","Southpaw","4/14/2018","Orthodox","Southpaw"
"1688","Matthew Lopez","Alejandro Perez","Orthodox","4/14/2018","Southpaw","Orthodox"
"1689","Luke Sanders","Patrick Williams","Southpaw","4/14/2018","Southpaw","Orthodox"
"1698","Devin Clark","Mike Rodriguez","Orthodox","4/7/2018","Orthodox","Southpaw"
"1703","John Phillips","Charles Byrd","Orthodox","3/17/2018","Southpaw","Orthodox"
"1704","Danny Roberts","Oliver Enkamp","Southpaw","3/17/2018","Southpaw","Switch"
"1707","Stevie Ray","Kajan Johnson","Orthodox","3/17/2018","Southpaw","Orthodox"
"1710","Frankie Edgar","Brian Ortega","Switch","3/3/2018","Orthodox","Switch"
"1711","Sean O'Malley","Andre Soukhamthath","Switch","3/3/2018","Switch","Orthodox"
"1713","Cat Zingano","Ketlen Vieira","Orthodox","3/3/2018","Southpaw","Orthodox"
"1714","Ashley Yoder","Mackenzie Dern","Orthodox","3/3/2018","Southpaw","Orthodox"
"1715","Beneil Dariush","Alexander Hernandez","Orthodox","3/3/2018","Southpaw","Orthodox"
"1717","CB Dollaway","Hector Lombard","Orthodox","3/3/2018","Orthodox","Southpaw"
"1723","Ovince Saint Preux","Ilir Latifi","Orthodox","2/24/2018","Southpaw","Orthodox"
"1725","Renan Barao","Brian Kelleher","Switch","2/24/2018","Orthodox","Switch"
"1728","Ben Saunders","Alan Jouban","Southpaw","2/24/2018","Orthodox","Southpaw"
"1729","Sam Alvey","Marcin Prachnio","Southpaw","2/24/2018","Southpaw","Orthodox"
"1735","James Vick","Francisco Trinaldo","Orthodox","2/18/2018","Orthodox","Southpaw"
"1740","Geoff Neal","Brian Camozzi","Southpaw","2/18/2018","Southpaw","Orthodox"
"1744","Oskar Piechota","Tim Williams","Southpaw","2/18/2018","Southpaw","Orthodox"
"1747","Tai Tuivasa","Cyril Asker","Southpaw","2/10/2018","Southpaw","Orthodox"
"1751","Rob Wilkinson","Israel Adesanya","Switch","2/10/2018","Orthodox","Switch"
"1753","Jussier Formiga","Ben Nguyen","Orthodox","2/10/2018","Orthodox","Switch"
"1755","Teruto Ishihara","Jose Quinonez","Orthodox","2/10/2018","Southpaw","Orthodox"
"1758","Valentina Shevchenko","Priscila Cachoeira","Southpaw","2/3/2018","Southpaw","Orthodox"
"1759","Michel Prazeres","Desmond Green","Orthodox","2/3/2018","Orthodox","Southpaw"
"1760","Tim Johnson","Marcelo Golm","Southpaw","2/3/2018","Southpaw","Orthodox"
"1761","Douglas Silva de Andrade","Marlon Vera","Orthodox","2/3/2018","Orthodox","Switch"
"1764","Alan Patrick","Damir Hadzovic","Southpaw","2/3/2018","Southpaw","Orthodox"
"1766","Iuri Alcantara","Joe Soto","Southpaw","2/3/2018","Southpaw","Orthodox"
"1767","Deiveson Figueiredo","Joseph Morales","Orthodox","2/3/2018","Orthodox","Switch"
"1768","Jacare Souza","Derek Brunson","Orthodox","1/27/2018","Orthodox","Southpaw"
"1771","Drew Dober","Frank Camacho","Southpaw","1/27/2018","Southpaw","Orthodox"
"1772","Erik Koch","Bobby Green","Orthodox","1/27/2018","Southpaw","Orthodox"
"1779","Austin Arnett","Cory Sandhagen","Switch","1/27/2018","Orthodox","Switch"
"1784","Thomas Almeida","Rob Font","Orthodox","1/20/2018","Southpaw","Orthodox"
"1788","Dan Ige","Julio Arce","Southpaw","1/20/2018","Orthodox","Southpaw"
"1789","Matt Bessette","Enrique Barzola","Switch","1/20/2018","Orthodox","Switch"
"1790","Islam Makhachev","Gleison Tibau","Orthodox","1/20/2018","Orthodox","Southpaw"
"1794","Darren Elkins","Michael Johnson","Orthodox","1/14/2018","Orthodox","Southpaw"
"1795","James Krause","Alex White","Orthodox","1/14/2018","Orthodox","Southpaw"
"1798","Kyung Ho Kang","Guido Cannetti","Orthodox","1/14/2018","Orthodox","Southpaw"
"1799","Kalindra Faria","Jessica Eye","Orthodox","1/14/2018","Switch","Orthodox"
"1800","Danielle Taylor","JJ Aldrich","Southpaw","1/14/2018","Orthodox","Southpaw"
"1802","Cris Cyborg","Holly Holm","Orthodox","12/30/2017","Orthodox","Southpaw"
"1804","Dan Hooker","Marc Diakiese","Switch","12/30/2017","Switch","Orthodox"
"1807","Myles Jury","Rick Glenn","Orthodox","12/30/2017","Orthodox","Southpaw"
"1809","Tim Elliott","Mark De La Rosa","Southpaw","12/30/2017","Southpaw","Orthodox"
"1814","Jared Cannonier","Jan Blachowicz","Orthodox","12/16/2017","Switch","Orthodox"
"1816","Chad Laprise","Galore Bofando","Orthodox","12/16/2017","Orthodox","Switch"
"1817","Nordine Taleb","Danny Roberts","Orthodox","12/16/2017","Orthodox","Southpaw"
"1819","Alessio Di Chirico","Oluwale Bamgbose","Orthodox","12/16/2017","Orthodox","Switch"
"1821","Cub Swanson","Brian Ortega","Switch","12/9/2017","Orthodox","Switch"
"1822","Jason Knight","Gabriel Benitez","Southpaw","12/9/2017","Orthodox","Southpaw"
"1824","Scott Holtzman","Darrell Horcher","Orthodox","12/9/2017","Orthodox","Southpaw"
"1825","Eryk Anders","Markus Perez","Southpaw","12/9/2017","Southpaw","Orthodox"
"1826","Albert Morales","Benito Lopez","Switch","12/9/2017","Orthodox","Switch"
"1828","Luke Sanders","Andre Soukhamthath","Orthodox","12/9/2017","Southpaw","Orthodox"
"1829","Carls John De Tomas","Alex Perez","Orthodox","12/9/2017","Southpaw","Orthodox"
"1831","Alejandro Perez","Iuri Alcantara","Orthodox","12/9/2017","Orthodox","Southpaw"
"1841","David Teymur","Drakkar Klose","Southpaw","12/2/2017","Southpaw","Orthodox"
"1843","Amanda Cooper","Angela Magana","Switch","12/2/2017","Switch","Orthodox"
"1845","Jeremy Kimball","Dominick Reyes","Southpaw","12/2/2017","Switch","Southpaw"
"1846","Justin Willis","Allen Crowder","Southpaw","12/2/2017","Southpaw","Orthodox"
"1847","Nicco Montano","Roxanne Modafferi","Southpaw","12/1/2017","Southpaw","Orthodox"
"1848","Sean O'Malley","Terrion Ware","Switch","12/1/2017","Switch","Orthodox"
"1850","Eric Spicely","Gerald Meerschaert","Southpaw","12/1/2017","Orthodox","Southpaw"
"1855","Ariel Beck","Shana Dobson","Orthodox","12/1/2017","Southpaw","Orthodox"
"1857","Michael Bisping","Kelvin Gastelum","Southpaw","11/25/2017","Orthodox","Southpaw"
"1859","Wang Guan","Alex Caceres","Orthodox","11/25/2017","Orthodox","Southpaw"
"1866","Wu Yanan","Gina Mazany","Southpaw","11/25/2017","Orthodox","Southpaw"
"1872","Jake Matthews","Bojan Velickovic","Orthodox","11/18/2017","Orthodox","Southpaw"
"1873","Elias Theodorou","Daniel Kelly","Orthodox","11/18/2017","Orthodox","Southpaw"
"1875","Ryan Benoit","Ashkan Mokhtarian","Orthodox","11/18/2017","Orthodox","Southpaw"
"1877","Rashad Coulter","Tai Tuivasa","Southpaw","11/18/2017","Orthodox","Southpaw"
"1879","Alex Chambers","Nadia Kassem","Southpaw","11/18/2017","Switch","Southpaw"
"1882","Dustin Poirier","Anthony Pettis","Southpaw","11/11/2017","Southpaw","Orthodox"
"1883","Matt Brown","Diego Sanchez","Orthodox","11/11/2017","Orthodox","Southpaw"
"1885","Nate Marquardt","Cezar Ferreira","Southpaw","11/11/2017","Orthodox","Southpaw"
"1886","Raphael Assuncao","Matthew Lopez","Orthodox","11/11/2017","Orthodox","Southpaw"
"1889","Tatiana Suarez","Viviane Pereira","Southpaw","11/11/2017","Southpaw","Orthodox"
"1894","Darren Stewart","Karl Roberson","Southpaw","11/11/2017","Orthodox","Southpaw"
"1899","Johny Hendricks","Paulo Costa","Orthodox","11/4/2017","Southpaw","Orthodox"
"1901","Walt Harris","Mark Godbeer","Orthodox","11/4/2017","Southpaw","Orthodox"
"1902","Ovince Saint Preux","Corey Anderson","Southpaw","11/4/2017","Southpaw","Orthodox"
"1903","Randy Brown","Mickey Gall","Orthodox","11/4/2017","Orthodox","Switch"
"1907","Demian Maia","Colby Covington","Orthodox","10/28/2017","Southpaw","Orthodox"
"1911","John Lineker","Marlon Vera","Orthodox","10/28/2017","Orthodox","Switch"
"1916","Deiveson Figueiredo","Jarred Brooks","Orthodox","10/28/2017","Orthodox","Switch"
"1918","Donald Cerrone","Darren Till","Southpaw","10/21/2017","Orthodox","Southpaw"
"1922","Marcin Held","Nasrat Haqparast","Orthodox","10/21/2017","Orthodox","Southpaw"
"1923","Damian Stasiak","Brian Kelleher","Switch","10/21/2017","Orthodox","Switch"
"1925","Artem Lobov","Andre Fili","Orthodox","10/21/2017","Southpaw","Orthodox"
"1931","Fabricio Werdum","Walt Harris","Orthodox","10/7/2017","Orthodox","Southpaw"
"1932","Mara Romero Borella","Kalindra Faria","Orthodox","10/7/2017","Orthodox","Switch"
"1940","Takanori Gomi","Dong Hyun Ma","Orthodox","9/22/2017","Southpaw","Orthodox"
"1942","Teruto Ishihara","Rolando Dy","Southpaw","9/22/2017","Southpaw","Orthodox"
"1943","Jussier Formiga","Ulka Sasaki","Orthodox","9/22/2017","Orthodox","Southpaw"
"1944","Keita Nakamura","Alex Morono","Southpaw","9/22/2017","Southpaw","Orthodox"
"1948","Luke Rockhold","David Branch","Southpaw","9/16/2017","Southpaw","Orthodox"
"1950","Hector Lombard","Anthony Smith","Orthodox","9/16/2017","Southpaw","Orthodox"
"1951","Gregor Gillespie","Jason Gonzalez","Orthodox","9/16/2017","Orthodox","Southpaw"
"1952","Kamaru Usman","Sergio Moraes","Switch","9/16/2017","Switch","Orthodox"
"1954","Anthony Rocco Martin","Olivier Aubin-Mercier","Southpaw","9/16/2017","Orthodox","Southpaw"
"1956","Krzysztof Jotko","Uriah Hall","Orthodox","9/16/2017","Southpaw","Orthodox"
"1958","Amanda Nunes","Valentina Shevchenko","Orthodox","9/9/2017","Orthodox","Southpaw"
"1959","Neil Magny","Rafael Dos Anjos","Southpaw","9/9/2017","Orthodox","Southpaw"
"1960","Henry Cejudo","Wilson Reis","Orthodox","9/9/2017","Orthodox","Southpaw"
"1966","Mitch Clarke","Alex White","Southpaw","9/9/2017","Orthodox","Southpaw"
"1968","Kajan Johnson","Adriano Martins","Orthodox","9/9/2017","Orthodox","Southpaw"
"1976","Rustam Khabilov","Desmond Green","Orthodox","9/2/2017","Orthodox","Southpaw"
"1980","Thibault Gouti","Andrew Holbrook","Orthodox","9/2/2017","Orthodox","Southpaw"
"1983","Alan Jouban","Niko Price","Orthodox","8/5/2017","Southpaw","Orthodox"
"1985","Sam Alvey","Rashad Evans","Southpaw","8/5/2017","Southpaw","Orthodox"
"1991","Joseph Morales","Roberto Sanchez","Switch","8/5/2017","Switch","Orthodox"
"1993","Tyron Woodley","Demian Maia","Orthodox","7/29/2017","Orthodox","Southpaw"
"1995","Robbie Lawler","Donald Cerrone","Southpaw","7/29/2017","Southpaw","Orthodox"
"1999","Brian Ortega","Renato Moicano","Switch","7/29/2017","Switch","Orthodox"
"2002","Eric Shelton","Jarred Brooks","Switch","7/29/2017","Orthodox","Switch"
"2003","Joshua Burkman","Drew Dober","Southpaw","7/29/2017","Orthodox","Southpaw"
"2004","Chris Weidman","Kelvin Gastelum","Orthodox","7/22/2017","Orthodox","Southpaw"
"2007","Jimmie Rivera","Thomas Almeida","Orthodox","7/22/2017","Orthodox","Southpaw"
"2009","Rafael Natal","Eryk Anders","Southpaw","7/22/2017","Orthodox","Southpaw"
"2010","Ryan LaFlare","Alex Oliveira","Orthodox","7/22/2017","Southpaw","Orthodox"
"2014","Tim Johnson","Junior Albini","Orthodox","7/22/2017","Southpaw","Orthodox"
"2017","Gunnar Nelson","Santiago Ponzinibbio","Orthodox","7/16/2017","Switch","Orthodox"
"2019","Stevie Ray","Paul Felder","Orthodox","7/16/2017","Southpaw","Orthodox"
"2021","Khalil Rountree Jr.","Paul Craig","Southpaw","7/16/2017","Southpaw","Orthodox"
"2022","James Mulheron","Justin Willis","Southpaw","7/16/2017","Orthodox","Southpaw"
"2023","Danny Roberts","Bobby Nash","Southpaw","7/16/2017","Southpaw","Orthodox"
"2025","Charlie Ward","Galore Bofando","Switch","7/16/2017","Orthodox","Switch"
"2028","Leslie Smith","Amanda Lemos","Orthodox","7/16/2017","Orthodox","Southpaw"
"2029","Yoel Romero","Robert Whittaker","Orthodox","7/8/2017","Southpaw","Orthodox"
"2031","Daniel Omielanczuk","Curtis Blaydes","Orthodox","7/8/2017","Southpaw","Orthodox"
"2032","Anthony Pettis","Jim Miller","Orthodox","7/8/2017","Orthodox","Southpaw"
"2036","Thiago Santos","Gerald Meerschaert","Orthodox","7/8/2017","Orthodox","Southpaw"
"2040","Michael Johnson","Justin Gaethje","Orthodox","7/7/2017","Southpaw","Orthodox"
"2042","Jared Cannonier","Nick Roehrick","Switch","7/7/2017","Switch","Orthodox"
"2045","Angela Hill","Ashley Yoder","Orthodox","7/7/2017","Orthodox","Southpaw"
"2046","James Krause","Tom Gallicchio","Orthodox","7/7/2017","Orthodox","Southpaw"
"2049","Gray Maynard","Teruto Ishihara","Orthodox","7/7/2017","Orthodox","Southpaw"
"2050","Michael Chiesa","Kevin Lee","Orthodox","6/25/2017","Southpaw","Orthodox"
"2051","Tim Boetsch","Johny Hendricks","Orthodox","6/25/2017","Orthodox","Southpaw"
"2055","Clay Guida","Erik Koch","Orthodox","6/25/2017","Orthodox","Southpaw"
"2056","Vitor Miranda","Marvin Vettori","Southpaw","6/25/2017","Orthodox","Southpaw"
"2057","Devin Powell","Darrell Horcher","Southpaw","6/25/2017","Orthodox","Southpaw"
"2060","Josh Stansbury","Jeremy Kimball","Switch","6/25/2017","Orthodox","Switch"
"2061","Holly Holm","Bethe Correia","Southpaw","6/17/2017","Southpaw","Orthodox"
"2063","Dong Hyun Kim","Colby Covington","Orthodox","6/17/2017","Southpaw","Orthodox"
"2064","Tarec Saffiedine","Rafael Dos Anjos","Southpaw","6/17/2017","Switch","Southpaw"
"2065","Takanori Gomi","Jon Tuck","Orthodox","6/17/2017","Southpaw","Orthodox"
"2066","Cyril Asker","Walt Harris","Southpaw","6/17/2017","Orthodox","Southpaw"
"2067","Alex Caceres","Rolando Dy","Southpaw","6/17/2017","Southpaw","Orthodox"
"2069","Kwan Ho Kwak","Russell Doane","Orthodox","6/17/2017","Switch","Orthodox"
"2070","Naoki Inoue","Carls John De Tomas","Orthodox","6/17/2017","Orthodox","Southpaw"
"2074","Dan Hooker","Ross Pearson","Switch","6/10/2017","Switch","Orthodox"
"2075","Ion Cutelaba","Henrique da Silva","Southpaw","6/10/2017","Southpaw","Orthodox"
"2076","Tim Elliott","Ben Nguyen","Switch","6/10/2017","Southpaw","Switch"
"2080","John Moraga","Ashkan Mokhtarian","Orthodox","6/10/2017","Orthodox","Southpaw"
"2082","JJ Aldrich","Chanmi Jeon","Southpaw","6/10/2017","Southpaw","Orthodox"
"2085","Vitor Belfort","Nate Marquardt","Southpaw","6/3/2017","Southpaw","Orthodox"
"2086","Paulo Costa","Oluwale Bamgbose","Orthodox","6/3/2017","Orthodox","Switch"
"2089","Johnny Eduardo","Matthew Lopez","Southpaw","6/3/2017","Orthodox","Southpaw"
"2090","Iuri Alcantara","Brian Kelleher","Switch","6/3/2017","Southpaw","Switch"
"2095","Peter Sobotta","Ben Saunders","Southpaw","5/28/2017","Southpaw","Orthodox"
"2097","Oliver Enkamp","Nordine Taleb","Orthodox","5/28/2017","Switch","Orthodox"
"2102","Nico Musoke","Bojan Velickovic","Southpaw","5/28/2017","Orthodox","Southpaw"
"2103","Darren Till","Jessin Ayari","Southpaw","5/28/2017","Southpaw","Orthodox"
"2107","Demian Maia","Jorge Masvidal","Southpaw","5/13/2017","Southpaw","Orthodox"
"2109","Krzysztof Jotko","David Branch","Orthodox","5/13/2017","Southpaw","Orthodox"
"2114","Gabriel Benitez","Enrique Barzola","Switch","5/13/2017","Southpaw","Switch"
"2116","Cub Swanson","Artem Lobov","Orthodox","4/22/2017","Orthodox","Southpaw"
"2117","Al Iaquinta","Diego Sanchez","Orthodox","4/22/2017","Orthodox","Southpaw"
"2118","Ovince Saint Preux","Marcos Rogerio de Lima","Southpaw","4/22/2017","Southpaw","Orthodox"
"2120","Joe Lauzon","Stevie Ray","Southpaw","4/22/2017","Orthodox","Southpaw"
"2122","Thales Leites","Sam Alvey","Orthodox","4/22/2017","Orthodox","Southpaw"
"2127","Bryan Barberena","Joe Proctor","Southpaw","4/22/2017","Southpaw","Orthodox"
"2129","Demetrious Johnson","Wilson Reis","Orthodox","4/15/2017","Orthodox","Southpaw"
"2136","Louis Smolka","Tim Elliott","Southpaw","4/15/2017","Orthodox","Southpaw"
"2148","Kamaru Usman","Sean Strickland","Switch","4/8/2017","Switch","Orthodox"
"2149","Shane Burgos","Charles Rosa","Orthodox","4/8/2017","Orthodox","Switch"
"2151","Gregor Gillespie","Andrew Holbrook","Orthodox","4/8/2017","Orthodox","Southpaw"
"2152","Josh Emmett","Desmond Green","Southpaw","4/8/2017","Orthodox","Southpaw"
"2156","Gunnar Nelson","Alan Jouban","Switch","3/18/2017","Switch","Southpaw"
"2157","Brad Pickett","Marlon Vera","Switch","3/18/2017","Orthodox","Switch"
"2162","Leon Edwards","Vicente Luque","Southpaw","3/18/2017","Southpaw","Orthodox"
"2164","Bradley Scott","Scott Askham","Orthodox","3/18/2017","Orthodox","Southpaw"
"2167","Edson Barboza","Beneil Dariush","Orthodox","3/11/2017","Orthodox","Southpaw"
"2170","Francisco Trinaldo","Kevin Lee","Orthodox","3/11/2017","Southpaw","Orthodox"
"2175","Garreth McLellan","Paulo Costa","Orthodox","3/11/2017","Southpaw","Orthodox"
"2177","Lando Vannata","David Teymur","Southpaw","3/4/2017","Orthodox","Southpaw"
"2178","Rashad Evans","Daniel Kelly","Southpaw","3/4/2017","Orthodox","Southpaw"
"2179","Amanda Cooper","Cynthia Calvillo","Orthodox","3/4/2017","Switch","Orthodox"
"2189","Sam Sicilia","Gavin Tucker","Southpaw","2/19/2017","Orthodox","Southpaw"
"2190","Elias Theodorou","Cezar Ferreira","Orthodox","2/19/2017","Orthodox","Southpaw"
"2191","Sara McMann","Gina Mazany","Orthodox","2/19/2017","Orthodox","Southpaw"
"2197","Gerald Meerschaert","Ryan Janes","Southpaw","2/19/2017","Southpaw","Orthodox"
"2198","Holly Holm","Germaine de Randamie","Orthodox","2/11/2017","Southpaw","Orthodox"
"2201","Glover Teixeira","Jared Cannonier","Orthodox","2/11/2017","Orthodox","Switch"
"2206","Rick Glenn","Phillipe Nover","Southpaw","2/11/2017","Southpaw","Orthodox"
"2207","Ryan LaFlare","Roan Carneiro","Southpaw","2/11/2017","Southpaw","Orthodox"
